,Balance/P&L,Credit/Debit,Is acc. Account,What is the parent/acc. Account,Accounting types,,,,"Tax types (Gewerbe, Umsatz, Koest)",,,Allowed tax id,Overwrites tax id definitions if defined,Tax1,Tax2,,,,Tax report pos.,,,
2760,,,,,,,,,,,,,,,,,,,,,Erträge Aktivierung unentgeltl.erworb VG,Income from capitalisation of assets acquired free of charge
2762,,,,,,,,,,,,,,,,,,,,,"Kostenerstatt.,Rückvergütg. früh. Jahre","Reimbursements, refunds and credit entries relating to prior periods"
2764,,,,,,,,,,,,,,,,,,,,,Erträge aus Verwaltungskostenumlagen,Income from administrative expense allocations
2790,,,,,,,,,,,,,,,,,,,,,Erträge aus Verlustübernahme,Income from loss absorption
2792,,,,,,,,,,,,,,,,,,,,,Gewinne auf Grund Gewinngemeinschaft,Income from profits received under a profit pooling agreement
2794,,,,,,,,,,,,,,,,,,,,,Gewinne auf Grund Gewinn/Teilgewinnabf,Income from profits received under a profit and loss transfer or partial profit transfer agreement
2795,,,,,,,,,,,,,,,,,,,,,Entnahmen aus Kapitalrücklagen,Withdrawals from capital reserves
2796,,,,,,,,,,,,,,,,,,,,,Entnahmen aus der gesetzlichen Rücklage,Withdrawals from legal reserve
2797,,,,,,,,,,,,,,,,,,,,,Entnahmen aus satzungsm.Rücklagen,Withdrawals from reserves provided for by the articles of association
2798,,,,,,,,,,,,,,,,,,,,,Entn. Ausgleichsposten akt.eig. Anteile,Withdrawals from special reserves for capitalised own shares
2799,,,,,,,,,,,,,,,,,,,,,Entnahmen aus anderen Gewinnrücklagen,Withdrawals from other revenue reserves
2840,,,,,,,,,,,,,,,,,,,,,Entnahme Rücklage Anteile herrsch. UN,Withdrawals from reserve for shares in a parent or majority investor
2841,,,,,,,,,,,,,,,,,,,,,Entnahme gesamth.geb. Rücklagen (KKE),Withdrawals from collectively held reserves (with breakdown for statement of changes in capital account)
2850,,,,,,,,,,,,,,,,,,,,,Entnahme a. anderen Ergebnisrücklagen,Withdrawals from other revenue reserves (cooperatives)
2860,,,,,,,,,,,,,,,,,,,,,Gewinnvortrag nach Verwendung,Retained profits brought forward after appropriation of net profit
2865,,,,,,,,,,,,,,,,,,,,,Gewinnvortrag nach Verwendung (KKE),Retained profits brought forward after appropriation of net profit (with breakdown for statement of changes in capital accounts)
2867,,,,,,,,,,,,,,,,,,,,,Verlustvortrag nach Verwendung (KKE),Accumulated losses brought forward after appropriation of net profit (with breakdown for statement of changes in capital accounts)
2868,,,,,,,,,,,,,,,,,,,,,Verlustvortrag nach Verwendung,Accumulated losses brought forward after appropriation of net profit
2870,,,,,,,,,,,,,,,,,,,,,Vorabausschüttung,Advance distribution
2890,,,,,,,,,,,,,,,,,,,,,Verrechneter kalkul.Unternehmerlohn,Allocated imputed business owner’s remuneration
2891,,,,,,,,,,,,,,,,,,,,,Verrechnete kalkul. Miete und Pacht,Allocated imputed
2892,,,,,,,,,,,,,,,,,,,,,Verrechnete kalkulatorische Zinsen,Allocated imputed interest
2893,,,,,,,,,,,,,,,,,,,,,Verrechnete kalkul. Abschreibungen,"Allocated imputed depreciation, amortisation and writedowns"
2894,,,,,,,,,,,,,,,,,,,,,Verrechnete kalkulatorische Wagnisse,Allocated imputed business risks
2895,,,,,,,,,,,,,,,,,,,,,"Verrechneter kalk. Lohn, unentgeltl. AN",Allocated imputed wages for non-compensated employees
3000,,,,,,,,,,,,,,,,,,,,,"Einkauf Roh-,Hilfs- und Betriebsstoffe","Raw materials, consumables and supplies"
3010,,,,,,,,,,,,,,,,,,,,,Einkauf RHB 7% Vorsteuer,"Cost of raw materials, consumables and supplies, 7 % input tax"
3029,,,,,,,,,,,,,,,,,,,,,Einkauf RHB ohne Vorsteuerabzug,"Cost of raw materials, consumables and supplies without input tax deduction"
3030,,,,,,,,,,,,,,,,,,,,,Einkauf RHB 19 % Vorsteuer,"Cost of raw materials, consumables and supplies, 19 % input tax"
3060,,,,,,,,,,,,,,,,,,,,,"Einkauf RHB, EU-Erwerb 7% Vorst./USt","Cost of raw materials, consumables and supplies, intra-European Union acquisitions, 7 % input tax and 7 % VAT"
3062,,,,,,,,,,,,,,,,,,,,,"Einkauf RHB,EU-Erwerb 19% Vorst./USt","Cost of raw materials, consumables and supplies, intra-European Union acquisitions, 19 % input tax and 19 % VAT"
3066,,,,,,,,,,,,,,,,,,,,,"Eink.RHB,EU-Erwerb ohne Vorst., 7% USt","Cost of raw materials, consumables and supplies, intra-European Union acquisitions, no input tax and 7 % VAT"
3067,,,,,,,,,,,,,,,,,,,,,"Eink.RHB,EU-Erwerb ohne Vorst.,19% USt","Cost of raw materials, consumables and supplies, intra-European Union acquisitions, no input tax and 19 % VAT"
3070,,,,,,,,,,,,,,,,,,,,,"Einkauf RHB 5,5% Vorsteuer","Cost of raw materials, consumables and supplies, 5.5 % input tax"
3071,,,,,,,,,,,,,,,,,,,,,"Einkauf RHB 10,7%/9,5% Vorsteuer","Cost of raw materials, consumables and supplies, 9.5 % / 9.0 % input tax"
3075,,,,,,,,,,,,,,,,,,,,,Einkauf RHB aus USt-Lager 7% Vorst./USt,"Cost of raw materials, consumables and supplies from a VAT warehouse, s. 13a UStG, 7 % input tax and 7 % VAT"
3076,,,,,,,,,,,,,,,,,,,,,Einkauf RHB aus USt-Lager 19% Vorst/USt,"Cost of raw materials, consumables and supplies from a VAT warehouse, s. 13a UStG, 19 % input tax and 19 % VAT"
3089,,,,,,,,,,,,,,,,,,,,,Erwerb RHB letzter Abn.DG 19% Vorst./USt,"Cost of raw materials, consumables and supplies as last purchaser in a triangular transaction, 19 % input tax and 19 % VAT"
3090,,,,,,,,,,,,,,,,,,,,,Energiestoffe,Fuels (production)
3091,,,,,,,,,,,,,,,,,,,,,Energiestoffe (Fertigung) 7% Vorsteuer,"Fuels (production), 7 % input tax"
3092,,,,,,,,,,,,,,,,,,,,,Energiestoffe (Fertigung) 19% Vorsteuer,"Fuels (production), 19 % input tax"
3100,,,,,,,,,,,,,,,,,,,,,Fremdleistungen,Purchased services
3106,,,,,,,,,,,,,,,,,,,,,Fremdleistungen 19% Vorsteuer,"Purchased services, 19 % input tax"
3108,,,,,,,,,,,,,,,,,,,,,Fremdleistungen 7% Vorsteuer,"Purchased services, 7 % input tax"
3109,,,,,,,,,,,,,,,,,,,,,Fremdleistungen ohne Vorsteuer,"Purchased services, no input tax"
3110,,,,,,,,,,,,,,,,,,,,,Bauleistungen §13b UStG 7% Vorst./USt,"Construction services supplied by domestic contractor, 7 % input tax and 7 % VAT"
3113,,,,,,,,,,,,,,,,,,,,,Sonstige Leistungen EU 7% Vorst./USt,"Other services supplied by a contractor in another EU country, 7 % input tax and 7 % VAT"
3115,,,,,,,,,,,,,,,,,,,,,Leistungen ausländ.Untern.7% Vorst./USt,"Services supplied by foreign contractor, 7 % input tax and 7 % VAT"
3120,,,,,,,,,,,,,,,,,,,,,Bauleistungen §13b UStG 19% Vorst./USt,"Construction services supplied by domestic contractor, 19 % input tax and 19 % VAT"
3123,,,,,,,,,,,,,,,,,,,,,Sonstige Leistungen EU 19% Vorst./USt,"Other services supplied by a contractor in another EU country, 19 % input tax and 19 % VAT"
3125,,,,,,,,,,,,,,,,,,,,,Leistungen ausländ.Untern.19% Vorst./USt,"Services supplied by  foreign contractor, 19 % input tax and 19 % VAT"
3130,,,,,,,,,,,,,,,,,,,,,"Bauleistungen §13b UStG o.Vorst.,7% USt","Construction services supplied by domestic contractor, no input tax and 7 % VAT"
3133,,,,,,,,,,,,,,,,,,,,,"Sonstige Leistungen EU o.Vorst.,7% USt","Other services supplied by a contractor in another EU country, no input tax and 7 % VAT"
3135,,,,,,,,,,,,,,,,,,,,,"Leistungen ausl.Untern.o.Vorst.,7% USt","Services supplied by foreign contractor, no input tax and 7 % VAT"
3140,,,,,,,,,,,,,,,,,,,,,"Bauleistungen §13b UStG o.Vorst.,19% USt",Construction services supplied by domestic
3143,,,,,,,,,,,,,,,,,,,,,"Sonstige Leistungen EU o.Vorst.,19% USt","Other services supplied by a contractor in another EU country, no input tax and 19 % VAT"
3145,,,,,,,,,,,,,,,,,,,,,"Leistungen ausl.Untern.o.Vorst.,19% USt","Services supplied by foreign contractor, no input tax and 19 % VAT"
3150,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti Leistungen §13b UStG,Cash discounts received on services for which recipient bears tax liability under section 13b UStG
3151,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti § 13b UStG 19% Vorst./USt,"Cash discounts received on services for which recipient bears tax liability under section 13b UStG, 19 % input tax and 19 % VAT"
3152,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti § 13b UStG 16% Vorst./USt,"Cash discounts received on services for which recipient bears tax liability under section 13b UStG, 16 % input tax and 16 % VAT"
3153,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti § 13b UStG o.VoSt/m.USt,"Cash discounts received on services for which recipient bears tax liability under section 13b UStG, no input tax, with VAT"
3154,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti § 13b UStG o.VoSt/19% USt,"Cash discounts received on services for which recipient bears tax liability under section 13b UStG, no input tax and 19 % VAT"
3155,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti § 13b UStG o.VoSt/16% USt,"Cash discounts received on services for which recipient bears tax liability under section 13b UStG, no input tax and 16 % VAT"
3160,,,,,,,,,,,,,,,,,,,,,Leistungen § 13b UStG mit VoSt-Abzug,"Services under s. 13b UStG, with input tax deduction"
3165,,,,,,,,,,,,,,,,,,,,,Leistungen § 13b UStG ohne VoSt-Abzug,"Services under s. 13b UStG, without input tax deduction"
3170,,,,,,,,,,,,,,,,,,,,,Fremdleistung (Miet- u.Pachtz. bew. WG),Purchased services (rent/lease for movable property)
3175,,,,,,,,,,,,,,,,,,,,,Fremdleistung (Miet- u.Pachtz. unbew.WG),Purchased services (rent/lease for immovable property)
3180,,,,,,,,,,,,,,,,,,,,,Fremdleistung (Entgelte Rechte u.Liz.),Purchased services (recompense for rights and licences)
3185,,,,,,,,,,,,,,,,,,,,,Fremdleistung (Vergütung Überlass. WG),Purchased services (remuneration for rental and lease of assets corresponds to special business income)
3200,,,,,,,,,,,,,,,,,,,,,Wareneingang,Cost of merchandise
3300,,,,,,,,,,,,,,1571,,,,,,,Wareneingang 7% Vorsteuer,"Cost of merchandise, 7 % input tax"
3349,,,,,,,,,,,,,,,,,,,,,Wareneingang ohne Vorsteuerabzug,Cost of merchandise without input tax deduction
3400,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3401,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3402,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3403,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3404,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3405,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3406,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3407,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3408,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3409,,,,,,,,,,,,,,1576,,,,,,,Wareneingang 19% Vorsteuer,"Cost of merchandise, 19 % input tax"
3420,,,,,,,,,,,,,,,,,,,,,EU-Erwerb 7% Vorst./USt,"Intra-European Union acquisitions, 7 % input tax and 7 % VAT"
3425,,,,,,,,,,,,,,,,,,,,,EU-Erwerb 19% Vorst./USt,"Intra-European Union acquisitions, 19 % input tax and 19 % VAT"
3430,,,,,,,,,,,,,,,,,,,,,"EU-Erwerb ohne Vorsteuer, 7% USt","Intra-European Union acquisitions, no input tax and 7 % VAT"
3435,,,,,,,,,,,,,,,,,,,,,"EU-Erwerb ohne Vorsteuer, 19% USt","Intra-European Union acquisitions, no input tax and 19 % VAT"
3440,,,,,,,,,,,,,,,,,,,,,EU-Erwerb Nfz ohne UStID 19% Vorst./USt,"Intra-European Union acquisition of new vehicles from supplier without VAT identification number, 19 % input tax and 19 % VAT"
3505,,,,,,,,,,,,,,,,,,,,,"Wareneingang 5,5% Vorsteuer","Cost of merchandise, 5,5 % input tax"
3540,,,,,,,,,,,,,,,,,,,,,"Wareneingang 10,7%/9,5% Vorsteuer",Incoming goods at the average rate pursuant to section 24 UStG (9.5 % / 9.0 % input tax)
3550,,,,,,,,,,,,,,,,,,,,,Steuerfreier EU-Erwerb,Tax-exempt intra-European Union acquisitions
3551,,,,,,,,,,,,,,,,,,,,,"Wareneingang, im Drittland steuerbar","Cost of merchandise in a third country, taxable"
3552,,,,,,,,,,,,,,,,,,,,,Erwerb 1. Abnehmer im Dreiecksgeschäft,Acquisition by 1st purchaser in a triangular transaction
3553,,,,,,,,,,,,,,,,,,,,,Erwerb Waren letzt.Abn.DG 19% Vorst./USt,"Purchase of merchandise as last purchaser in a triangular transaction, 19 % input tax and 19 % VAT"
3558,,,,,,,,,,,,,,,,,,,,,"Wareneingang, im anderen EU-Land stb.","Cost of merchandise in another EU country, taxable"
3559,,,,,,,,,,,,,,,,,,,,,Steuerfreie Einfuhren,Tax-exempt imports
3560,,,,,,,,,,,,,,,,,,,,,Waren aus USt-Lager 7% Vorst./USt,"Merchandise from a VAT warehouse, section 13a UStG, 7 % input tax and 7 % VAT"
3565,,,,,,,,,,,,,,,,,,,,,Waren aus USt-Lager 19% Vorst./USt,"Merchandise from a VAT warehouse, section 13a UStG, 19 % input tax and 19 % VAT"
3600,,,,,,,,,,,,,,,,,,,,,Nicht abziehb. VoSt (Materialaufwand),Non-deductible input
3610,,,,,,,,,,,,,,,,,,,,,Nicht abziehb. VoSt 7% (Materialaufwand),"Non-deductible input tax, 7 %"
3660,,,,,,,,,,,,,,,,,,,,,Nicht abziehb. VoSt 19% (Materialaufw.),"Non-deductible input tax, 19 %"
3700,,,,,,,,,,,,,,,,,,,,,Nachlässe,Trade discounts
3701,,,,,,,,,,,,,,,,,,,,,Nachlässe aus Einkauf RHB,"Trade discounts on cost of raw materials, consumables and supplies"
3710,,,,,,,,,,,,,,,,,,,,,Nachlässe 7% Vorsteuer,"Trade discounts, 7 % input tax"
3714,,,,,,,,,,,,,,,,,,,,,Nachlässe aus Einkauf RHB 7% Vorst.,"Trade discounts on cost of raw materials, consumables and supplies, 7 % input tax"
3715,,,,,,,,,,,,,,,,,,,,,Nachlässe aus Einkauf RHB 19% Vorst.,"Trade discounts on cost of raw materials, consumables and supplies, 19 % input tax"
3717,,,,,,,,,,,,,,,,,,,,,"Nachlässe RHB, EU-Erwerb 7% Vorst./USt","Trade discounts on cost of raw materials, consumables and supplies, intra-EU acquisitions, 7 % input tax and 7 % VAT"
3718,,,,,,,,,,,,,,,,,,,,,"Nachlässe RHB, EU-Erwerb 19% Vorst./USt","Trade discounts on cost of raw materials, consumables and supplies, intra-EU acquisitions, 19 % input tax and 19 % VAT"
3720,,,,,,,,,,,,,,,,,,,,,Nachlässe 19% Vorsteuer,"Trade discounts, 19 % input tax"
3724,,,,,,,,,,,,,,,,,,,,,Nachlässe aus EU-Erwerb 7% Vorst./USt,"Trade discounts on intra-European Union acquisitions, 7 % input tax and 7 % VAT"
3725,,,,,,,,,,,,,,,,,,,,,Nachlässe aus EU-Erwerb 19% Vorst./USt,"Trade discounts on intra-European Union acquisitions, 19 % input tax and 19 % VAT"
3730,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti,Cash discounts received 3731 Cash discounts re-
3731,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti 7% Vorsteuer,"Cash discounts received, 7 % input tax"
3732,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti 5% Vorsteuer,"Cash discounts received, 5 % input tax"
3733,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti Einkauf RHB,"Cash discounts received on cost of raw materials, consumables and supplies"
3734,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti Einkauf RHB 7% Vorst.,"Cash discounts received on cost of raw materials, consumables and supplies, 7 % input tax"
3735,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti Einkauf RHB 5% Vorst.,"Cash discounts received on cost of raw materials, consumables and supplies, 5 % input tax"
3736,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti 19% Vorsteuer,"Cash discounts received, 19 % input tax"
3737,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti 16% Vorsteuer,"Cash discounts received, 16 % input tax"
3738,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti Einkauf RHB 19% Vorst.,"Cash discounts received on cost of raw materials, consumables and supplies, 19 % input tax"
3739,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti Einkauf RHB 16% Vorst.,"Cash discounts received on cost of raw materials, consumables and supplies, 16 % input tax"
3740,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti RHB EU-Erw.16% Vorst./USt,"Cash discounts received on cost of raw materials, consumables and supplies, taxable intra-European Union acquisitions, 16 % input tax and 16 % VAT"
3741,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti RHB EU-Erw.19% Vorst./USt,"Cash discounts received on cost of raw materials, consumables and supplies, taxable intra-European Union acquisitions, 19 % input tax and 19 % VAT"
3742,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti RHB EU-Erw. 5% Vorst./USt,"Cash discounts received on cost of raw materials, consumables and supplies, taxable intra-European Union acquisitions, 5 % input tax and 5 % VAT"
3743,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti RHB EU-Erw. 7% Vorst./USt,"Cash discounts received on cost of raw materials, consumables and supplies, taxable intra-European Union acquisitions, 7 % input tax and 7 % VAT"
3744,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti RHB EU-Erwerb,"Cash discounts received on raw materials, consumables and supplies, taxable intra-European Union acquisitions"
3745,,,,,,,,,,,,,,,,,,,,,Erhaltene Skonti EU-Erwerb,Cash discounts received on taxable intra-European Union acquisitions
3746,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti EU-Erwerb 7% Vorst./USt,"Cash discounts received on taxable intra-European Union acquisitions, 7 % input tax and 7 % VAT"
3747,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti EU-Erwerb 5% Vorst./USt,"Cash discounts received on taxable intra-European Union acquisitions, 5 % input tax and 5 % VAT"
3748,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti EU-Erwerb 19% Vorst./USt,"Cash discounts received on taxable intra-European Union acquisitions, 19 % input tax and 19 % VAT"
3749,,,,,,,,,,,,,,,,,,,,,Erhalt. Skonti EU-Erwerb 16% Vorst./USt,"Cash discounts received on taxable intra-European Union acquisitions, 16 % input tax and 16 % VAT"
3750,,,,,,,,,,,,,,,,,,,,,Erhaltene Boni 7% Vorsteuer,"Volume discounts received, 7 % input tax"
3753,,,,,,,,,,,,,,,,,,,,,Erhaltene Boni aus Einkauf RHB,"Volume discounts received on cost of raw materials, consumables and supplies"
3754,,,,,,,,,,,,,,,,,,,,,Erhaltene Boni Einkauf RHB 7% Vorst.,"Volume discounts received on cost of raw materials, consumables and supplies, 7 % input tax"
3755,,,,,,,,,,,,,,,,,,,,,Erhaltene Boni Einkauf RHB 19% Vorst.,"Volume discounts received on cost of raw materials, consumables and supplies, 19 % input tax"
3760,,,,,,,,,,,,,,,,,,,,,Erhaltene Boni 19% Vorsteuer,"Volume discounts received, 19 % input tax"
3769,,,,,,,,,,,,,,,,,,,,,Erhaltene Boni,Volume discounts received
3770,,,,,,,,,,,,,,,,,,,,,Erhaltene Rabatte,Rebates received
3780,,,,,,,,,,,,,,,,,,,,,Erhaltene Rabatte 7% Vorsteuer,"Rebates received, 7 % input tax"
3783,,,,,,,,,,,,,,,,,,,,,Erhaltene Rabatte aus Einkauf RHB,"Rebates received on cost of raw materials, consumables and supplies"
3784,,,,,,,,,,,,,,,,,,,,,Erhaltene Rabatte Einkauf RHB 7% Vorst,"Rebates received on cost of raw materials, consumables and supplies, 7 % input tax"
3785,,,,,,,,,,,,,,,,,,,,,Erhaltene Rabatte Einkauf RHB 19% Vorst,"Rebates received on cost of raw materials, consumables and supplies, 19 % input tax"
3788,,,,,,,,,,,,,,,,,,,,,"Erhaltene Skonti RHB 10,7% Vorsteuer","Cash discounts received on cost of raw materials, consumables and supplies, 10,7 % input tax"
3789,,,,,,,,,,,,,,,,,,,,,"Erhaltene Skonti RHB 9,5% Vorsteuer","Cash discounts received on cost of raw materials, consumables and supplies, 9,5 % input tax"
3790,,,,,,,,,,,,,,,,,,,,,Erhaltene Rabatte 19% Vorsteuer,"Rebates received, 19 % input tax"
3792,,,,,,,,,,,,,,,,,,,,,Erh.Skonti RHB letz.Abn.DG 19% Vorst/USt,"Cash discounts received on cost of raw materials, consumables and supplies as last purchaser in a triangular transaction, 19 % input tax and 19 %"
3793,,,,,,,,,,,,,,,,,,,,,Erh.Skonti Waren DG letz.Abn.19%VoSt/USt,Cash discounts received
3794,,,,,,,,,,,,,,,,,,,,,"Erhaltene Skonti 5,5% Vorsteuer","Cash discounts received on purchase of merchandise as last purchaser in a triangular transaction, 19 % input tax and 19 % VAT"
3796,,,,,,,,,,,,,,,,,,,,,"Erhaltene Skonti 10,7% Vorsteuer","Cash discounts received, 10,7 % input tax"
3797,,,,,,,,,,,,,,,,,,,,,"Erhaltene Skonti 9,5% Vorsteuer","Cash discounts received, 9,5 % input tax"
3798,,,,,,,,,,,,,,,,,,,,,"Erhaltene Skonti RHB 5,5% Vorsteuer","Cash discounts received on cost of raw materials, consumables and supplies, 5.5 % input tax"
3800,,,,,,,,,,,,,,,,,,,,,Bezugsnebenkosten,Delivery costs
3830,,,,,,,,,,,,,,,,,,,,,Leergut,Empties
3850,,,,,,,,,,,,,,,,,,,,,Zölle und Einfuhrabgaben,Customs and import duties
3950,,,,,,,,,,,,,,,,,,,,,Bestandsveränderungen Waren,Changes in inventories of purchased merchandise
3955,,,,,,,,,,,,,,,,,,,,,Bestandsveränderungen RHB,"Changes in inventories of raw materials, consumables and supplies"
3960,,,,,,,,,,,,,,,,,,,,,Bestandsveränderung RHB-Stoffe / Waren,"Changes in inventories of raw materials, consumables and supplies, and of purchased merchandise"
3970,,,,,,,,,,,,,,,,,,,,,"Bestand Roh-,Hilfs- und Betriebsstoffe","Inventories of raw materials, consumables and supplies"
3980,,,,,,,,,,,,,,,,,,,,,Bestand Waren,Merchandise (inventories)
3990,,,,,,,,,,,,,,,,,,,,,Verrechnete Stoffkosten,Allocated material costs
4000,,,,,,,,,,,,,,,,,,,,,Material- und Stoffverbrauch,"Cost of raw materials, consumables and supplies, and of purchased merchandise"
4100,,,,,,,,,,,,,,,,,,,,,Löhne und Gehälter,Wages and salaries
4110,PL,,,,,,,,,,,,,,,,,,,,Löhne,Wages
4120,,,,,,,,,,,,,,,,,,,,,Gehälter,Salaries
4124,,,,,,,,,,,,,,,,,,,,,Geschäftsführergehälter GmbH-Gesells.,Managing director salaries of shareholders of limited liability company (GmbH)
4125,,,,,,,,,,,,,,,,,,,,,Ehegattengehalt,Salaries of spouses
4126,,,,,,,,,,,,,,,,,,,,,Tantiemen Gesellschafter-Geschäftsf.,Management bonuses paid to shareholder managers
4127,,,,,,,,,,,,,,,,,,,,,Geschäftsführergehälter,Managing director salaries
4128,,,,,,,,,,,,,,,,,,,,,Vergütung angest. Mituntern. § 15 EStG,"Remuneration of salaried partners, section 15 EStG (corresponds to special business income)"
4129,,,,,,,,,,,,,,,,,,,,,Tantiemen Arbeitnehmer,Management bonuses paid to employees
4130,,,,,,,,,,,,,,,,,,,,,Gesetzliche Sozialaufwendungen,Statutory social security expenses
4137,,,,,,,,,,,,,,,,,,,,,Ges. soz. Aufwendg. Mituntern. §15 EStG,"Statutory social security expenses for salaried partners, section 15 EStG (corresponds to special business income)"
4138,,,,,,,,,,,,,,,,,,,,,Beiträge zur Berufsgenossenschaft,Contributions to occupational health and safety agency
4139,,,,,,,,,,,,,,,,,,,,,Ausgleichsabgabe n.d.SchwerbehindertenG.,Disabled persons equalisation levy
4140,,,,,,,,,,,,,,,,,,,,,Freiwillige soziale Aufwendung. LSt-frei,Voluntary social benefits not subject to wage tax
4141,,,,,,,,,,,,,,,,,,,,,Sonstige soziale Abgaben,Other social security costs
4144,,,,,,,,,,,,,,,,,,,,,Soziale Abgaben für Minijobber,Social security contributions for marginal parttime workers
4145,,,,,,,,,,,,,,,,,,,,,Freiwillige soziale Aufwendung. LSt-pfl.,Voluntary social benefits subject to wage tax
4146,,,,,,,,,,,,,,,,,,,,,Freiwillige Zuwendungen an Minijobber,Voluntary non-cash benefits provided to marginal part-time workers
4147,,,,,,,,,,,,,,,,,,,,,Freiwillige Zuwendungen an Ges.er-GF,Voluntary non-cash benefits provided to shareholder managers
4148,,,,,,,,,,,,,,,,,,,,,Freiwillige Zuwend. Mituntern. § 15 EStG,"Voluntary non-cash benefits provided to salaried partners, section 15 EStG (corresponds to special business income)"
4149,,,,,,,,,,,,,,,,,,,,,Pauschale Steuer auf sonstige Bezüge,Flat-rate tax on other benefits (e.g. travel allowances)
4150,,,,,,,,,,,,,,,,,,,,,Krankengeldzuschüsse,Sick pay supplements
4151,,,,,,,,,,,,,,,,,,,,,"Sachzuwend., Dienstleistungen Minijob",Non-cash benefits and services provided to marginal part-time workers
4152,,,,,,,,,,,,,,,,,,,,,Sachzuwendungen und Dienstleistg. an AN,Non-cash benefits and services provided to employees
4153,,,,,,,,,,,,,,,,,,,,,"Sachzuwend., Dienstleistungen Ges.er-GF",Non-cash benefits and services provided to shareholder managers
4154,,,,,,,,,,,,,,,,,,,,,"Sachzuwendg, Dienstleistg. MU §15 EStG","Non-cash benefits and services provided to salaried partners, section 15 EStG (corresponds to special business income)"
4155,,,,,,,,,,,,,,,,,,,,,Zuschüsse Agenturen für Arbeit,Employment agency subsidies (credit balances)
4156,,,,,,,,,,,,,,,,,,,,,Aufwendung Veränderung Urlaubsrückst.,Expenses from change in provisions for vacation pay
4157,,,,,,,,,,,,,,,,,,,,,Aufwendung Urlaubsrückstellg Ges.er-GF,Expenses from change in provisions for vacation pay for shareholder-managers
4158,,,,,,,,,,,,,,,,,,,,,Aufwendung Urlaubsrückst. MU § 15 EStG,"Expenses from change in provisions for vacation pay for salaried partners, section 15 EStG (corresponds to special business income)"
4159,,,,,,,,,,,,,,,,,,,,,Aufwendung Urlaubsrückst. Minijobber,Expenses from change in provisions for vacation pay for marginal part-time workers
4160,,,,,,,,,,,,,,,,,,,,,Versorgungskassen,Pension funds
4165,,,,,,,,,,,,,,,,,,,,,Aufwendungen für Altersversorgung,Post-employment benefit costs
4166,,,,,,,,,,,,,,,,,,,,,Aufwendungen Altersversorgung Ges.er-GF,Post-employment benefit costs for shareholder managers
4167,,,,,,,,,,,,,,,,,,,,,Pauschale Steuer für Versicherungen,Flat-rate tax on other benefits (e.g. direct insurance policies)
4168,,,,,,,,,,,,,,,,,,,,,Aufwend. Altersvers. Mituntern. §15 EStG,"Post-employment benefit costs of salaried partners, section 15 EStG (corresponds to special business income)"
4169,,,,,,,,,,,,,,,,,,,,,Aufwendungen für Unterstützung,Employee benefit expenses
4170,,,,,,,,,,,,,,,,,,,,,Vermögenswirksame Leistungen,Capital-forming payments
4175,,,,,,,,,,,,,,,,,,,,,Fahrtkostenerstatt. Whg./Arbeitsstätte,Travel expense reimbursement home/workplace
4180,,,,,,,,,,,,,,,,,,,,,Bedienungsgelder,Tips
